SAMPLE ID,00_ctr-2,03_ctr-n3,14_ctr-6,83_ctr-n1,28_als-n1,30_als-n1,29_als-n1,52_als-n6
GOLGA6L1,0.0261336,0.161881,0.0106118,0.000228583,1.07E-24,0.0482445,0.0377089,0.0402611
GOLGA6L10,4.22183,1.37728,0.688339,1.24979,1.47963,4.39141,0.843657,1.61444
GOLGA6L4,0,0.00683865,0,0,0,0.00598115,0.00872668,0
GOLGA6L5,1.52588,1.19046,0.811552,0.921554,0.888561,2.22594,0.928943,0.608943
GOLGA6L6,0.0528513,0.0467788,0.0912396,0.0987437,0.0328623,0.108553,0.00125749,0.0934262
GOLGA6L7P,0.102148,0.417862,0.14664,0.0275617,0.0711096,0.408462,0.0313662,0
GOLGA6L9,5.84989,10.9945,4.61431,4.64224,4.52544,6.51344,6.2623,4.02345
GOLGA7,27.9222,23.8349,32.2967,28.7362,35.6818,20.2444,31.1355,37.409
GOLGA7B,1.122,1.32326,2.59521,1.02483,1.88002,3.21365,1.66606,1.29793
GOLGA8A,18.4386,13.5817,8.89,10.0838,8.14274,11.3181,9.43802,5.55312
GOLGA8B,5.90233,5.29667,7.99491,6.3888,6.34086,12.4687,4.30989,3.10952
GOLGA8CP,1.02E-06,0.0297939,1.46E-05,4.91E-06,1.01E-11,2.96E-09,3.20E-10,0.0306787
GOLGA8DP,0.04021,0.0281814,0.0562003,0.0292264,0.095036,0.0357677,0.0138488,0.0291
GOLGA8EP,0.166452,0.0720502,0.217973,0.311975,0.0974257,0.174658,0.130844,0.0939389
GOLGA8F,0.0400031,0.0377402,0.00373224,0.0380231,0.0267792,0.0307811,0.0268021,0.0298454
GOLGA8G,0.00141096,0.000506184,0.0248102,0.00253077,0.00110455,0.000158794,0.000717628,0.00283122
GOLGA8I,0.931184,0.661673,0.668763,0.848313,0.714543,0.789552,0.542276,0.695103
GOLGA8S,0.135317,0.119827,0.248648,0.204464,0.060288,0.132141,0.11302,0.0719228
GOLGA8T,1.49366,1.23919,1.57062,1.52559,0.892931,1.25955,1.05345,0.667267
GOLGB1,13.2333,5.30126,10.3234,12.5537,10.6721,8.18545,10.4257,10.95
GOLIM4,31.6323,9.041,27.6195,23.3515,22.9548,10.3593,35.3011,26.2025
GOLM1,97.3554,29.4717,83.0699,66.9463,90.7545,51.4386,79.9655,71.3033
GOLPH3,24.5896,25.1866,27.974,26.4678,30.5495,22.985,26.8964,34.5527
GOLPH3L,7.65249,7.31299,5.93387,8.22908,7.11594,5.32144,6.70072,7.94343
GOLT1A,0.200594,0.128718,0.614328,0.144332,0.372379,0.281446,0.657021,0.19039
GOLT1B,6.99223,15.5273,7.46037,8.7346,8.7177,9.57762,7.16986,12.2883
GON4L,9.45658,5.42775,6.76966,6.32346,7.64814,7.33944,7.05253,7.55868
GOPC,10.6457,10.3148,11.2447,10.1731,10.4608,12.3195,10.3379,11.6771
GORAB,3.98415,3.1098,1.99389,3.00706,2.94563,1.95349,3.18415,3.37509
GORASP1,15.0259,11.3677,17.5671,12.8925,17.976,14.3566,17.0088,14.5641
GORASP2,40.2113,35.2542,46.908,56.1574,52.9282,39.9247,46.7249,60.644
GOSR1,20.5209,18.498,16.7014,17.3824,20.5271,19.2658,20.407,20.4906
GOSR2,15.2637,13.6775,15.477,16.4633,18.3268,10.2636,16.1285,19.803
GOT1,22.2342,32.9566,30.4125,23.7724,30.454,24.4895,25.7242,29.995
GOT2,50.2106,58.0949,60.6295,43.7751,66.6658,55.6243,62.487,66.9046
GP1BA,0.755429,1.63603,0.732017,0.611493,0.640924,2.04696,0.797387,0.885049
GP1BB,0.254576,0.0313448,0.197005,1.79035,0.256275,0.308418,0.524712,0.0924679
GP2,0.180713,0.262641,0.140177,0.0990797,0.0849546,0.228623,0.166377,0.0712989
GP5,0.0423056,0.0979153,0.0582363,0.0581617,0.0119299,0.0215568,0.0103806,0.0321963
GP6,0.613373,0.981279,0.299393,0.402039,0.349088,0.987836,0.34567,0.369179
GPA33,0.0105695,0.101735,0.0121386,0.0228151,0.0294317,0.0177957,0.0519289,0.0702232
GPAA1,36.5046,23.452,36.2979,35.5607,39.6498,24.6593,32.786,37.0605
GPAM,6.92562,3.3598,8.30469,5.41421,9.06321,5.42942,7.54669,9.86018
GPANK1,5.7435,3.63767,4.39937,4.06148,6.3161,4.64379,6.1374,7.43876
GPAT2,1.28787,0.274335,0.397097,0.534691,0.539936,0.569064,0.685099,0.562928
GPATCH1,4.89963,2.85667,3.72109,3.90448,4.29107,2.78676,4.23853,4.50872
GPATCH2,6.72304,5.55885,6.13915,5.68757,6.73879,6.88315,7.26429,6.9448
GPATCH2L,10.3206,10.4223,9.69411,7.75312,10.4103,11.1577,9.94797,11.6892
GPATCH3,5.90692,2.36232,6.14685,4.72906,6.81483,2.95325,6.64215,7.11992
GPATCH4,7.52449,2.53128,8.45151,6.23423,7.2286,3.7404,7.0275,8.69157
GPATCH8,13.5824,12.6921,11.8299,11.0997,11.6696,14.8672,11.9412,12.6869
GPBAR1,0.0852317,0.0993021,0.416355,0.347064,0.0890811,0.0537797,0.392331,0.202392
GPBP1,26.7568,28.5722,24.9279,23.5234,28.3979,29.1052,29.9028,30.068
GPBP1L1,22.492,12.4969,14.022,16.8938,17.175,11.7211,16.4321,16.663
GPC1,63.3823,15.7413,36.2303,38.2837,48.4162,35.356,42.8797,34.6172
GPC2,44.3977,80.6202,59.0628,29.1559,64.3791,56.6819,75.5546,68.5095
GPC3,175.61,37.8451,295.988,493.475,60.0819,75.4557,119.188,41.8358
GPC4,30.5222,14.4062,54.1502,53.4368,17.95,19.7194,26.0083,17.7741
GPC5,1.47604,1.35167,2.17781,1.44925,2.36904,2.16589,3.5378,1.60526
GPC5-AS1,0,0.115742,0,0,0,0.0506145,0.0959241,0.0737586
GPC6,13.1434,9.37417,14.0253,18.7749,8.87192,10.3578,10.5888,8.97541
GPC6-AS2,0,0.130943,0,0,0,0,0,0
GPCPD1,3.56369,7.78161,3.99957,6.75864,4.33676,5.95457,4.62956,4.51159
GPD1,0.335627,0.046876,0.319166,0.178711,0.682249,0.0725542,0.235708,0.172991
GPD1L,3.56109,1.37806,5.97605,3.32575,4.01704,1.68248,3.63308,3.2213
